genus,size_category,feeding_habit,vertical_position,depth_distribution
Astroscopus,tiny,actinopterygii_actinopterygii,benthic,neritic
Kathetostoma,tiny,actinopterygii_actinopterygii,benthic,neritic_twilight
Lophius,small,actinopterygii_actinopterygii,benthic,neritic_twilight
Platybelone,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Pomatomus,small,actinopterygii_actinopterygii,pelagic,neritic
Pristipomoides,tiny,actinopterygii_actinopterygii,benthopelagic,neritic_twilight
Synodus,tiny,actinopterygii_actinopterygii,benthopelagic,neritic
Acanthocybium,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Dentex,tiny,actinopterygii_cephalopoda_actinopterygii,benthopelagic,neritic
Istiophorus,medium,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Merluccius,small,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Sarda,tiny,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic
Seriola,small,actinopterygii_cephalopoda_actinopterygii,benthopelagic,neritic
Xiphias,medium,actinopterygii_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Aluterus,tiny,actinopterygii_herbivore,benthopelagic,neritic
Archosargus,tiny,actinopterygii_herbivore_macroinvertebrates,benthopelagic,neritic
Lagodon,tiny,actinopterygii_herbivore_macroinvertebrates,benthic,neritic
Opsanus,tiny,actinopterygii_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Acipenser,medium,actinopterygii_macroinvertebrates,benthic,neritic
Cepola,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Chilomycterus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic
Gadiculus,tiny,actinopterygii_macroinvertebrates,benthic,neritic_twilight
Holocentrus,tiny,actinopterygii_macroinvertebrates,benthic,neritic
Neobythites ,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight_midnight
Stenotomus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic
Symbolophorus,tiny,actinopterygii_macroinvertebrates,benthopelagic,neritic_twilight
Vinciguerria,tiny,actinopterygii_macroinvertebrates,benthic,twilight_midnight
Argentina,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Arnoglossus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Bagre,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Brotula,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Caranx,small,actinopterygii_macroinvertebrates_actinopterygii,pelagic,neritic
Centropristis,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Lutjanus ,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Megalops ,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Melanogrammus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Micropogonias,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Mycteroperca,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Orthopristis,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Pagellus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Pogonias,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Porichthys,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Prionotus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic
Rhynchoconger,small,actinopterygii_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Sciaenops,small,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic
Trachurus,tiny,actinopterygii_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Gadus,small,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Gnathophis,tiny,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,benthic,neritic_twilight
Lepidopus,small,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Makaira,medium,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Urophycis,small,actinopterygii_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Ammodytes,tiny,actinopterygii_microinvertebrates,benthopelagic,neritic
Apogon,tiny,actinopterygii_microinvertebrates,benthopelagic,neritic
Benthosema,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight_midnight
Ceratoscopelus,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight_midnight
Citharichthys,tiny,actinopterygii_microinvertebrates,benthic,neritic
Hygophum,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight_midnight
Lobianchia,tiny,actinopterygii_microinvertebrates,pelagic,twilight
Maurolicus ,tiny,actinopterygii_microinvertebrates,pelagic,twilight_midnight
Myctophum,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight
Notoscopelus,tiny,actinopterygii_microinvertebrates,pelagic,twilight_midnight
Sardinella,tiny,actinopterygii_microinvertebrates,pelagic,neritic_twilight
Scomber,tiny,actinopterygii_microinvertebrates,pelagic,neritic
Eucinostomus,tiny,actinopterygii_microinvertebrates_macroinvertebrates,benthic,neritic
Harengula,tiny,actinopterygii_microinvertebrates_macroinvertebrates,benthopelagic,neritic
Alosa,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,pelagic,neritic
Ariosoma,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Haemulon,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,benthic,neritic
Mola,small,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,pelagic,neritic_twilight
Rhomboplites,tiny,actinopterygii_microinvertebrates_macroinvertebrates_actinopterygii,benthic,neritic
Pandion,tiny,aves_actinopterygii,pelagic,neritic
Pelagornis,small,aves_actinopterygii,pelagic,neritic
Pinguinus,tiny,aves_actinopterygii,pelagic,neritic
Stercorarius,tiny,aves_actinopterygii_aves,pelagic,neritic
Ardenna,tiny,aves_cephalopoda_actinopterygii,pelagic,neritic
Haematopus,tiny,aves_macroinvertebrates,pelagic,neritic
Limosa ,tiny,aves_macroinvertebrates,benthic,neritic
Procellaria,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Pterodromoides,tiny,aves_macroinvertebrates_actinopterygii,pelagic,neritic
Pterodroma,tiny,aves_macroinvertebrates_cephalopoda,pelagic,neritic
Phoebastria,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Thalasseus,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Uria,tiny,aves_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Pachyptila,tiny,aves_microinvertebrates_macroinvertebrates,pelagic,neritic
Cephalopoda8,tiny,cephalopoda_cephalopoda_actinopterygii,pelagic,neritic_twilight
Cephalopoda12,tiny,cephalopoda_cephalopoda_actinopterygii,pelagic,twilight_midnight
Cephalopoda16,small,cephalopoda_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Cephalopoda19,mega,cephalopoda_cephalopoda_actinopterygii,pelagic,twilight_midnight
Cephalopoda11,tiny,cephalopoda_macroinvertebrates,pelagic,neritic_twilight_midnight
Cephalopoda1,tiny,cephalopoda_macroinvertebrates_actinopterygii,benthopelagic,neritic
Cephalopoda4,tiny,cephalopoda_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Cephalopoda2,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Cephalopoda5,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Cephalopoda9,tiny,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Cephalopoda14,small,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Cephalopoda15,small,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Cephalopoda18,medium,cephalopoda_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Isogomphodon,small,chondrichthyes_actinopterygii,benthopelagic,neritic
Lamna,small,chondrichthyes_actinopterygii,pelagic,neritic_twilight_midnight
Negaprion,medium,chondrichthyes_actinopterygii,benthopelagic,neritic
Prionace,medium,chondrichthyes_actinopterygii,pelagic,neritic_twilight
Scoliodon,tiny,chondrichthyes_actinopterygii,benthopelagic,neritic
Notorynchus,small,chondrichthyes_actinopterygii_chondrichthyes_mammalia,benthopelagic,neritic_twilight
Parotodus,large,chondrichthyes_actinopterygii_chondrichthyes_mammalia,pelagic,neritic_twilight
Cosmopolitodus,large,chondrichthyes_actinopterygii_mammalia,pelagic,neritic_twilight
Hemipristis,medium,chondrichthyes_actinopterygii_mammalia,benthopelagic,neritic
Alopias superciliosus,medium,chondrichthyes_cephalopoda_actinopterygii,pelagic,neritic_twilight
Alopias vulpinus,large,chondrichthyes_cephalopoda_actinopterygii,pelagic,neritic_twilight
Anoxypristis,medium,chondrichthyes_cephalopoda_actinopterygii,benthopelagic,neritic
Carcharodon,large,chondrichthyes_cephalopoda_actinopterygii_reptilia_aves_chondrichthyes_mammalia,pelagic,neritic_twilight
Otodus megalodon,mega,chondrichthyes_cephalopoda_actinopterygii_reptilia_aves_chondrichthyes_mammalia,pelagic,neritic_twilight
Aetomylaeus,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic
Heterodontus,small,chondrichthyes_macroinvertebrates,benthic,neritic
Myliobatis,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic_twilight
Pteromylaeus,small,chondrichthyes_macroinvertebrates,benthopelagic,neritic
Rhinoptera,small,chondrichthyes_macroinvertebrates,benthic,neritic
Aetobatus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Dasyatis,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Galeorhinus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Galeus,medium,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Ginglymostoma,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Paragaleus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Pristis,large,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Rhinobatos,tiny,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Rhizoprionodon,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic
Rhynchobatus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Scyliorhinus,tiny,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic_twilight
Squalus,small,chondrichthyes_macroinvertebrates_actinopterygii,benthopelagic,neritic_twilight
Squatina,small,chondrichthyes_macroinvertebrates_actinopterygii,benthic,neritic
Sphyrna2,medium,chondrichthyes_macroinvertebrates_actinopterygii_chondrichthyes,benthopelagic,neritic
Isistius,tiny,chondrichthyes_macroinvertebrates_cephalopoda,pelagic,neritic_twilight_midnight
Deania,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Echinorhinus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Isurus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic
Pristiophorus,tiny,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic
Hexanchus,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_aves_chondrichthyes_mammalia,benthopelagic,neritic_twilight_midnight
Carcharhinus1,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic
Carcharias,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic
Sphyrna1,small,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,benthopelagic,neritic_twilight
Galeocerdo,medium,chondrichthyes_macroinvertebrates_cephalopoda_actinopterygii_reptilia_chondrichthyes_mammalia,benthopelagic,neritic_twilight
Macroinverts,macro,macroinverts_primary,benthopelagic,neritic_twilight_midnight
Praepusa,small,mammalia_actinopterygii,benthopelagic,neritic
Grampus,medium,mammalia_cephalopoda,pelagic,neritic_twilight
Beneziphius,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Choneziphius,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Delphinus,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Globicephala,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Hyperoodon ,large,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Lagenorhynchus,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic
Lissodelphis,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Mesoplodon,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Phocoena,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic
Physeter,mega,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Physeterula,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight_midnight
Pseudorca,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Sarcodectes,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Stenella,small,mammalia_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Steno,small,mammalia_cephalopoda_actinopterygii,pelagic,neritic
Tusciziphius,medium,mammalia_cephalopoda_actinopterygii,pelagic,neritic_twilight
Metaxytherium,medium,mammalia_herbivore,benthic,neritic
Nanosiren,small,mammalia_herbivore,benthic,neritic
Enhydritherium,tiny,mammalia_macroinvertebrates,benthic,neritic
Odobenus,medium,mammalia_macroinvertebrates,benthic,neritic
Enhydra,tiny,mammalia_macroinvertebrates_actinopterygii,benthic,neritic
Homiphoca,small,mammalia_macroinvertebrates_actinopterygii,pelagic,neritic
Neomonachus,small,mammalia_macroinvertebrates_actinopterygii,benthopelagic,neritic
Pliopontos,small,mammalia_macroinvertebrates_actinopterygii,benthic,neritic
Tursiops,medium,mammalia_macroinvertebrates_actinopterygii,benthopelagic,neritic
Lontra ,small,mammalia_macroinvertebrates_actinopterygii_aves,benthopelagic,neritic
Lutra ,tiny,mammalia_macroinvertebrates_actinopterygii_aves,benthopelagic,neritic
Aprixokogia,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Bohaskaia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Delphinapterus,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight
Kogia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,pelagic,neritic_twilight
Pontoporia,small,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthic,neritic
Ziphius,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii,benthopelagic,neritic_twilight_midnight
Orcinus2,medium,mammalia_macroinvertebrates_cephalopoda_actinopterygii_chondrichthyes,pelagic,neritic_twilight
Scaldicetus,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii_mammalia,pelagic,neritic_twilight
Orcinus1,large,mammalia_macroinvertebrates_cephalopoda_actinopterygii_reptilia_chondrichthyes_mammalia,pelagic,neritic_twilight
Microinverts,micro,microinverts_primary,benthopelagic,neritic_twilight_midnight
BASAL NODE,primary,primary,benthopelagic,neritic_twilight_midnight
Chelonia,small,reptilia_herbivore,benthic,neritic
Syllomus,tiny,reptilia_herbivore_macroinvertebrates_actinopterygii,benthic,neritic
Caretta,small,reptilia_herbivore_macroinvertebrates_cephalopoda,benthic,neritic_twilight
Eretmochelys,tiny,reptilia_macroinvertebrates,benthic,neritic
Psephophorus,small,reptilia_macroinvertebrates,pelagic,neritic
